,Axis1,Axis2,Crop,SampleType,Notes
SRR12728806,-0.1568848044514783,-0.3610788185020214,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728810,-0.1714854313110406,-0.3752514746944073,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728811,-0.17640216349606258,-0.5006679522007815,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728819,-0.1618877896332729,-0.43567064401642747,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12728820,-0.17344658077728212,-0.4077591964118465,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732104,0.2483705274086752,-0.05437085426141273,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732113,0.2793668661643059,0.1518114910490373,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732118,0.21514485024639168,-0.11994324878401716,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732120,0.13893093857209574,-0.15748992364031458,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732126,0.18382892854929692,-0.16673447376908926,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732136,0.22188133490414377,-0.09366732193436471,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732140,0.2079764041600004,-0.1260949470397257,Groundnut,Rhizosphere,Crop developmental stage (mid-season)
SRR12732146,0.2918909610652156,0.09228728606793384,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732159,0.22179714333999345,0.12174776755898913,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732166,0.23951941161455695,0.043523115820739186,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732168,0.3005767445289276,0.08369911541142527,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732170,0.2506652309208825,0.13184657153402451,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732171,0.298274687567703,0.10338793885804828,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732175,0.2667408255654244,0.13270385358748046,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732176,0.2702216127103449,0.15347054631340762,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732178,0.25379490601705745,0.07310998796952435,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732181,0.2802017907850913,0.15114819832124055,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732182,0.29489094721119885,0.14815223595875257,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732187,0.23621736202224408,0.1481383278667205,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR12732188,0.25026564249838423,0.14431760587528084,Groundnut,Bulk Soil,Consecutive bulk soil sampling
SRR33067009,-0.592036601651905,0.16507389038989048,Potato,Rhizosphere,PRJNA1248770
SRR33067016,-0.5945338966990786,0.16679940995325357,Potato,Rhizosphere,PRJNA1248770
SRR33067031,-0.5345688226227651,0.11565117507704717,Potato,Rhizosphere,PRJNA1248770
SRR33067049,-0.5935647162301098,0.16579095251476325,Potato,Rhizosphere,PRJNA1248770
SRR33067060,-0.5903887609762202,0.1640473736226987,Potato,Rhizosphere,PRJNA1248770
SRR33067062,-0.6052249858420494,0.1730166652688309,Potato,Rhizosphere,PRJNA1248770
SRR33067067,-0.6001325621606707,0.16900534623531568,Potato,Rhizosphere,PRJNA1248770
